"exchange_id","name","year_established","country","url","trust_score","trading_volume_24h_btc"
"oceanex","Oceanex",2018,"Cayman Islands","https://oceanex.pro",7,2348.06805244736
"exmarkets","ExMarkets",2018,"British Virgin Islands","https://exmarkets.com",7,1536.20855056585
"poloniex","Poloniex",2014,"Seychelles","https://poloniex.com/",7,1276.50462300372
"cryptology","Cryptology",2018,"Estonia","https://cryptology.com/",7,1256.89844139581
"coinex","CoinEx",2017,"United Kingdom","https://www.coinex.com/",7,1046.75200439402
"coinfield","Coinfield",NA,"Canada","https://www.coinfield.com/",7,720.864658278805
"luno","Luno",2013,"Singapore","https://www.luno.com",7,542.918945475488
"bitso","Bitso",2014,"Mexico","https://bitso.com",7,353.892900909688
"bitazza","Bitazza",2021,NA,"https://trade.bitazza.com/gl/exchange/",7,313.873251763711
"blockchain_com","Blockchain.com",2012,"United Kingdom","https://www.blockchain.com/",7,244.786879877825
"independent_reserve","Independent Reserve",2013,"Australia","https://www.independentreserve.com/",7,116.972460107022
"korbit","Korbit",2013,"South Korea","https://www.korbit.co.kr/",7,108.725780838839
"bitopro","BitoPro",2018,"Taiwan","https://www.bitopro.com/",7,87.8926258946464
"mercado_bitcoin","Mercado Bitcoin",2013,"Brazil","https://www.mercadobitcoin.com.br/",7,55.5998484602506
"zaif","Zaif",2015,"Japan","https://zaif.jp/",7,51.0537202683093
"coin_metro","Coinmetro",2018,"Estonia","https://coinmetro.com/",7,24.4071005082059
"delta_spot","Delta Exchange",NA,NA,"https://www.delta.exchange/app/spot/trade/",7,21.1826194418929
"bitforex","Bitforex",2018,"Seychelles","https://www.bitforex.com/",6,83007.7305079559
"bkex","BKEX",2018,"British Virgin Islands","https://www.bkex.com/",6,77925.573082257
"hitbtc","HitBTC",2013,NA,"https://hitbtc.com/",6,55229.5380741978
"zb","ZB",2017,"China","https://www.zb.com/en/",6,31006.3621781519
"uniswap","Uniswap (v3)",2018,NA,"https://app.uniswap.org/#/swap",6,27631.6824809525
"currency","Currency.com",2019,"Gibraltar","https://currency.com/?utm_source=COINGECKO&utm_campaign=listing",6,14815.1661320127
"pancakeswap_new","PancakeSwap (v2)",2020,NA,"https://pancakeswap.finance",6,5212.84026328533
"bitmax","AscendEX (BitMax)",2018,"Singapore","https://ascendex.com/en/global-digital-asset-platform",6,5118.29547301365
"btse","BTSE",2018,"British Virgin Islands","https://www.btse.com/",6,4886.41788036044
"btcturk","BtcTurk PRO",2013,"Turkey","https://pro.btcturk.com/",6,4444.41968174132
"probit","ProBit Global",2017,"Seychelles","https://www.probit.com/",6,4406.01224377434
"tokpie","Tokpie",2018,"Hong Kong","https://tokpie.io/",6,3863.13600001174
"bitexen","Bitexen",2018,NA,"https://www.bitexen.com/",6,3576.91403283591
"bitvavo","Bitvavo",2018,"Netherlands","https://bitvavo.com/en",6,2631.20924699963
"coincheck","Coincheck",2014,"Japan","https://coincheck.com/",6,2205.54567504299
"uniswap_v2","Uniswap (v2)",2018,NA,"https://app.uniswap.org/#/swap?use=V2",6,2110.86302727219
"quoine","Liquid",2014,"Japan","https://liquid.com",6,1878.07230035099
"dodo_polygon","Dodo (Polygon)",NA,NA,"https://app.dodoex.io/",6,1579.87885092856
"paritex","Paritex",NA,NA,"https://www.paritex.com/en",6,1028.70456187813
"sushiswap","Sushiswap",2020,NA,"https://app.sushi.com/swap",6,979.638179987131
"biswap","Biswap",NA,NA,"https://biswap.org/",6,911.195442426966
"stocks_exchange","STEX",2018,"Estonia","http://stex.com/",6,862.71101751413
"emirex","Emirex",2019,"Estonia","https://www.emirex.com/",6,1693.89777898291
"balancer_v1","Balancer (v1)",2020,NA,"https://balancer.exchange/#/swap",6,852.248545109014
"b2bx","B2BX",2017,"Estonia","https://www.b2bx.exchange/",6,831.281629055821
"tokenize","Tokenize",2018,"Singapore","https://tokenize.exchange/",6,799.243395491299
"bitbns","BitBNS",2017,"Estonia","https://ref.bitbns.com/",6,678.695463124119
"c_patex","C-Patex",NA,"Argentina","https://c-patex.com/",6,664.342014739379
"gmo_japan","GMO Japan",NA,"Japan","https://coin.z.com/jp/",6,373.624905103156
"coinjar","CoinJar Exchange",2013,"United Kingdom","https://www.coinjar.com/",6,305.324405239525
"fatbtc","FatBTC",2014,"Belize","https://fatbtc.com/",6,300.246626882634
"bitpanda","Bitpanda Pro",2019,"Austria","https://exchange.bitpanda.com",6,195.486537105817
"cex","CEX.IO",2013,"United Kingdom","https://cex.io/",6,175.608624418036
"wazirx","WazirX",2018,"India","https://wazirx.com/",6,163.376629849291
"gopax","GoPax",2016,"South Korea","https://www.gopax.co.kr/exchange/",6,130.932847960223
"bancor","Bancor Network",NA,NA,"https://www.bancor.network",6,114.337868738051
"coindeal","Coindeal",2018,"Malta","https://coindeal.com/",6,113.897757077453
"novadax","NovaDAX",2018,"Brazil","https://www.novadax.com.br/",6,106.945795140027
"coindcx","CoinDCX",2018,"Singapore","https://www.coindcx.com",6,73.8737263132423
"maiar","Maiar",2021,NA,"https://maiar.exchange/",6,59.8781382864994
"waves","Waves.Exchange",NA,NA,"https://waves.exchange/",6,52.2321825743163
"coinlist","Coinlist",2020,"United States","https://pro.coinlist.co/",6,55.8870711814585
"bitubu","Bitubu Exchange",2019,"Turkey","https://bitubu.com",6,46.2762277975858
"flybit","Flybit",2018,"South Korea","https://flybit.com",6,42.5122228983046
"birake","Birake",2018,"Estonia","https://birake.com",6,28.8920173350788
"therocktrading","TheRockTrading",2011,"Italy","https://therocktrading.com/",6,14.598449255223
"defi_swap","DeFi Swap",NA,NA,"https://crypto.com/defi/swap",6,14.177720140559
"foxbit","Foxbit",2014,"Brazil","https://foxbit.com.br/",6,13.8430649850705
"coinzoom","Coinzoom",2020,"United States","www.coinzoom.com",6,12.0147431667239
"kaidex","Kaidex",2021,"Vietnam","https://kaidex.io/",6,5.67443374854272
"probit_kr","Probit (Korea)",NA,NA,"http://www.probit.kr",6,1.33422625456318
"deversifi","Deversifi ",2017,"British Virgin Islands","https://www.deversifi.com/",6,0.129939512600212
"namebase","Namebase",NA,NA,"https://www.namebase.io/pro",6,0.06004770878384
"sinegy","SINEGY",2020,"Malaysia","https://marketplace.sinegy.com/",6,0.0263181640411763
"nomiswap","Nomiswap",NA,NA,"https://nomiswap.io/",6,88.8303858943668
"hoo","Hoo.com",2019,"Cayman Islands","https://www.hoo.com",5,44423.3033338446
"dcoin","Dcoin",2018,"Switzerland","https://www.dcoin.com/",5,26283.6901481105
"cointiger","CoinTiger",2017,"Singapore","https://www.cointiger.com/",5,15421.4558154304
"bullish_com","Bullish",2021,"Gibraltar","https://bullish.com/",5,14607.5949458893
"bithumb_global","BitGlobal",2019,"Seychelles","https://www.bitglobal.com/",6,2538.66357634795
"changelly","Changelly PRO",2020,"Seychelles","https://pro.changelly.com/",5,36689.3991772023
"koinbazar","Koinbazar",2020,"India","https://www.koinbazar.com/coin-list",5,1934.86337771445
"uniswap_polygon","Uniswap (Polygon)",2021,NA,"https://app.uniswap.org/#/swap",5,1486.67096786863
"bw","BW.com",2017,NA,"https://www.bw.com/",5,1168.04400165424
"uniswap_arbitrum","Uniswap (Arbitrum One)",NA,NA,"https://app.uniswap.org/#/swap",5,765.310559910786
"dodo_bsc","Dodo (BSC)",2021,NA,"https://dodoex.io/",5,690.639381056253
"traderjoe","Trader Joe",NA,NA,"https://www.traderjoexyz.com/#/home",5,554.637019343932
"btcbox","BTCBOX",2014,"Japan","https://www.btcbox.co.jp/",5,543.938432854731
"quickswap","Quickswap",2020,NA,"https://quickswap.exchange/#/swap",5,527.11835484396
"max_maicoin","Max Maicoin",NA,"Taiwan","https://max.maicoin.com",5,431.713898475204
"uniswap_optimism","Uniswap (Optimism)",NA,NA,"https://app.uniswap.org/#/swap",5,412.544745469481
"osmosis","Osmosis",2021,NA,"https://app.osmosis.zone/",5,361.209446595306
"kanga","Kanga",NA,NA,"https://kanga.exchange/",5,357.792371699251
"spookyswap","SpookySwap",NA,NA,"https://spookyswap.finance/swap",5,334.378248054637
"zipmex","Zipmex",2019,"Singapore"," https://trade.zipmex.com/global/accounts/sign-up",5,318.089503477966
"bitexlive","Bitexlive",NA,"Germany","https://bitexlive.com/",5,559.380772799606
"toko_crypto","TokoCrypto",2017,"Indonesia","https://tokocrypto.com",5,299.355627542997
"mm_finance","MM Finance",NA,NA,"https://mm.finance/",5,278.509506678549
"vvs","VVS Finance",2021,NA,"https://vvs.finance/swap",5,207.168817574128
"localtrade","LocalTrade",2017,"Saint Vincent and the Grenadines","https://localtrade.cc/",5,8437.09907207503
"bitstorage","BitStorage",2018,"Seychelles","https://bitstorage.finance/",5,128.301034127333
"cbx","CBX",2018,"United Arab Emirates","https://www.cbx.one",5,33256.9720479869
"stormgain","Stormgain",NA,NA,"https://stormgain.com/?utm_id=1DSE&utm_source=coingecko_storm&utm_medium=media&utm_campaign=listing&utm_country=en",5,91.3256069039479
"katana","Katana",2021,NA,"https://katana.roninchain.com/#/swap",5,88.442216228913
"sushiswap_polygon_pos","Sushiswap (Polygon POS)",2021,NA,"https://app.sushi.com/swap",5,81.9661912836203
"shibaswap","Shibaswap",2021,NA,"https://shibaswap.com/#/",5,80.4835321506362
"sushiswap_arbitrum","Sushiswap (Arbitrum One)",NA,NA,"https://app.sushi.com/swap",5,80.6052105736468
"apeswap_bsc","ApeSwap",2021,NA,"https://apeswap.finance",4,77.7550579160174
"kumex","KuCoin Futures",2019,NA,"https://futures.kucoin.com/trade",NA,2594.92158152785
"pangolin","Pangolin",2021,NA,"https://app.pangolin.exchange/#/swap",5,73.373324691704
"bitci","Bitci",2018,"Turkey","https://www.bitci.com/",5,73.1641065854484
"trisolaris","Trisolaris",2021,NA,"https://www.trisolaris.io/#/swap",5,65.5817993492772
"arthswap","ArthSwap",NA,NA,"https://app.arthswap.org/#/swap?",5,55.3928743001884
"zebpay","ZebPay",2014,"India","https://www.zebpay.com",5,50.6955732430689
"dystopia","Dystopia",NA,NA,"https://www.dystopia.exchange/",5,54.0125727233298
"spiritswap","SpiritSwap",2021,NA,"https://app.spiritswap.finance/#/",5,43.829104214892
"sushiswap_avalanche","Sushiswap (Avalanche)",2021,NA,"https://app.sushi.com/en/swap",5,32.8409246275852
"energiswap","Energiswap",NA,NA,"https://app.energiswap.exchange/#/swap?",5,31.5848975558276
"dodo_arbitrum","Dodo (Arbitrum)",NA,NA,"https://app.dodoex.io/",5,30.0763769626503
"solarbeam","Solarbeam",2021,"Estonia","https://solarbeam.io/exchange/swap",5,27.8454229884563
"bitbuy","Bitbuy",NA,"Canada","https://bitbuy.ca/",5,24.8415722056184
"mojitoswap","MojitoSwap",NA,NA,"https://app.mojitoswap.finance/",5,21.315665942343
"stellaswap","StellaSwap",NA,NA,"https://stellaswap.com/",5,20.9627076290542
"diffusion","Diffusion Finance",2022,NA,"https://app.diffusion.fi/#/swap",5,20.5149321850018
"injective","Injective Pro",NA,NA,"https://injective.exchange/",5,18.7109765178929
"benswap_smart_bitcoin_cash","Benswap",NA,NA,"https://benswap.cash/",5,16.9715956987141
"defi_kingdoms_crystalvale","Defi Kingdoms (Crystalvale)",NA,NA,"https://defikingdoms.com/crystalvale/",5,16.9828741283669
"netswap","Netswap",NA,NA,"https://netswap.io/#/swap",5,13.9404574641817
"defi_kingdoms","Defi Kingdoms",NA,NA,"https://defikingdoms.com/",5,14.7932591538145
"apeswap_polygon","ApeSwap (Polygon)",2021,NA,"https://apeswap.finance",5,14.3740082122138
"tomb_swap_fantom","Tomb Swap (Fantom)",NA,NA,"https://swap.tomb.com/#/swap",5,14.2888673529893
"wagyuswap","WagyuSwap",NA,NA,"https://exchange.wagyuswap.app/swap",5,13.7681622743978
"dfyn","Dfyn",2021,"Singapore","https://exchange.dfyn.network",5,13.6295217095445
"bisq","Bisq",NA,NA,"https://bisq.network/",4,12.689550381175
"balancer_arbitrum","Balancer (Arbitrum)",NA,NA,"https://arbitrum.balancer.fi/#/trade",5,12.7185806989293
"dmm","KyberSwap (Ethereum)",2018,NA,"https://kyberswap.com/",5,11.0651701169182
"tethys","Tethys Finance",2021,"United Arab Emirates","https://tethys.finance/",5,9.92993991480254
"solidly","Solidly",NA,NA,"https://solidly.exchange/",5,10.375472048131
"ubeswap","Ubeswap",NA,NA,"https://app.ubeswap.org/#/swap",5,8.20252129506846
"swapr_xdai","Swapr (Xdai)",2020,NA,"https://swapr.eth.limo",5,8.31333018745509
"wanswap","WanSwap",NA,NA,"https://www.wanswap.finance/#/swap",5,7.76352580204863
"beamswap","Beamswap",NA,NA,"https://app.beamswap.io/exchange/swap",5,6.30428534504455
"occamx","OccamX",NA,NA,"https://app.occam-x.fi/",5,6.05015957163649
"viperswap","ViperSwap",2021,NA,"https://viper.exchange/#/swap",5,5.29214272808967
"protofi","ProtoFi",NA,NA,"https://protofi.app/",5,5.00998845474866
"hanbitco","Hanbitco",2017,"South Korea","https://www.hanbitco.com",5,4.82530588
"sushiswap_harmony","Sushiswap (Harmony)",NA,NA,"https://app.sushi.com/swap",5,4.8205658171903
"tranquil_finance","Tranquil Finance",NA,NA,"https://app.defira.com/#/swap",5,4.41716514731363
"radioshack_polygon_pos","RadioShack (Polygon)",NA,NA,"https://app.radioshack.org/swap?",5,3.50486202306685
"evmoswap","EvmoSwap",2022,NA,"https://app.evmoswap.org/swap",5,3.22022310664348
"zipswap","ZipSwap",2022,NA,"https://zipswap.fi",5,3.16658049561547
